# compound_verbs.tsv -- noun <TAB> light-verb infinitive. One row per two-token
# Persian compound verb, derived from the pinned wty-fa-en build (English
# Wiktionary via wiktionary-to-yomitan / kaikki.org), CC BY-SA 4.0. The second
# column is always an infinitive present in hazm's verbs.dat.
آب	زدن
آبتنی	کردن
آتش	زدن
آتش	گرفتن
آخر	شدن
آرام	گرفتن
آرایش	کردن
آرزو	کردن
آروغ	زدن
آزاد	کردن
آزار	دادن
آشتی	کردن
آشنا	شدن
آشنا	کردن
آشپزی	کردن
آشکار	کردن
آغاز	شدن
آغاز	کردن
آماده	کردن
آه	کشیدن
آهنگ	کردن
آواز	خواندن
آویزان	کردن
ابراز	کردن
اتراق	کردن
اتفاق	افتادن
اتو	کردن
اجازه	دادن
اجرا	کردن
احاطه	داشتن
احتیاج	داشتن
احداث	کردن
احساس	کردن
اختصاص	دادن
اخراج	شدن
اخراج	کردن
اداره	کردن
ادامه	دادن
ادرار	کردن
اذیت	کردن
ارائه	دادن
ارزیابی	کردن
ارسال	کردن
ارود	کردن
ازدواج	کردن
استخاره	کردن
استخراج	کردن
استدلال	کردن
استراحت	کردن
استعفا	دادن
استعمار	کردن
استفاده	کردن
استفراغ	کردن
استمنا	کردن
اسکی	کردن
اشاره	کردن
اشتباه	کردن
اشک	باریدن
اشک	ریختن
اصرار	کردن
اصلاح	کردن
اضافه	کردن
اطاعت	کردن
اعتراض	کردن
اعتراف	کردن
اعتقاد	داشتن
اعتماد	داشتن
اعدام	کردن
اعلام	کردن
اعمال	کردن
اغوا	کردن
افت	کردن
افتخار	کردن
افزایش	یافتن
افسوس	خوردن
افشا	شدن
اقامت	داشتن
اقتضا	کردن
التفات	فرمودن
التفات	کردن
التماس	کردن
امضاء	کردن
امیدوار	بودن
انتخاب	کردن
انتشار	دادن
انتقاد	کردن
انجام	دادن
اندازه	گرفتن
انزال	کردن
انک	کردن
انکار	کردن
اپلای	کردن
ایجاد	کردن
ایستادگی	کردن
ایفا	کردن
باد	زدن
باد	کردن
باران	آمدن
باران	باریدن
باز	آمدن
باز	شدن
باز	کردن
بازتاب	کردن
بازجویی	کردن
بازنگری	کردن
بازگو	کردن
بازی	کردن
باعث	شدن
بالا	آوردن
بالا	رفتن
باور	کردن
بحث	کردن
بد	آمدن
بر	زدن
برآورد	کردن
برباد	دادن
بررسی	کردن
برف	آمدن
برف	باریدن
بروز	دادن
برون‌سپاری	کردن
برپا	کردن
برکت	دادن
برگزار	شدن
برگزار	کردن
بزرگ	شدن
بس	کردن
بستاوه	شدن
بسنده	کردن
بلد	بودن
بلند	شدن
بلند	کردن
بمباران	کردن
بند	کردن
بندگی	کردن
بهبود	بخشیدن
بهتان	زدن
بو	کردن
بوس	کردن
بیداد	کردن
بیدار	شدن
بیدار	کردن
بیمار	شدن
بیمه	کردن
تأمین	کردن
تأکید	کردن
تا	کردن
تایید	کردن
تب	کردن
تبخیر	شدن
تبدیل	کردن
تبرئه	کردن
تبریک	گفتن
تحصیل	کردن
تحمل	کردن
