# colloquial.tsv -- informal <TAB> formal <TAB> source. Tehrani colloquial
# spellings and the formal word they stand for. Sources: hazm 0.12.1
# (iwords.dat and InformalNormalizer's direct table) and shekar 1.6.3
# (informal_words.csv), both MIT. Identity pairs and multi-word keys dropped;
# hazm wins a clash.
دورود	درود	hazm
دوس	دوست	hazm
دومن	دوما	shekar
دون	دانه	shekar
دونه	دانه	hazm
دونه‌ای	دانه‌ای	hazm
دووم	دوام	hazm
دیقه	دقیقه	hazm
دیگه	دیگر	hazm
ذاتن	ذاتاً	hazm
رسمن	رسماً	hazm
رفتارا	رفتارها	hazm
رمضون	رمضان	hazm
رو	را	hazm
رودخونه	رودخانه	hazm
روندن	راندن	hazm
ریزون	ریزان	shekar
ریسمون	ریسمان	shekar
زبون	زبان	hazm
زبونه	زبانه	shekar
زعفرون	زعفران	shekar
زمستون	زمستان	hazm
زمونه	زمانه	hazm
زندونی	زندانی	shekar
زنونه	زنانه	shekar
زورخونه	زورخانه	shekar
زیگیل	زگیل	hazm
سربازخونه	سربازخانه	shekar
سفره‌خونه	سفره‌خانه	shekar
سقاخونه	سقاخانه	shekar
سلمونی	سلمانی	shekar
سورود	سرود	hazm
سوغاتیا	سوغاتی‌ها	hazm
سولاخ	سوراخ	shekar
سومن	سوما	shekar
سگدونی	سگ‌دانی	shekar
سیا	سیاه	hazm
سیبیل	سبیل	hazm
سیریش	سریش	hazm
ش	اش	hazm
شبا	شب‌ها	hazm
شخصن	شخصاً	hazm
شدیدن	شدیداً	hazm
شرعن	شرعاً	hazm
شم	بشوم	hazm
شمبه	شنبه	hazm
شمرون	شمران	shekar
شهرا	شهرها	hazm
شون	شان	hazm
شونزده	شانزده	hazm
شونصد	ششصد	hazm
شونه	شانه	hazm
شیش	شش	hazm
شیطون	شیطان	hazm
صابخونه	صاحب‌خانه	shekar
صاحاب	صاحب	hazm
صب	صبر	hazm
صراحتن	صراحتاً	hazm
صرفن	صرفاً	hazm
صریحن	صریحاً	hazm
ضمنن	ضمناً	hazm
طهرون	تهران	shekar
ظاهرن	ظاهراً	hazm
عاخه	آخر	hazm
عاره	آره	shekar
عقب‌مونده	عقب‌مانده	hazm
عقدکنون	عقدکنان	shekar
عملن	عملاً	hazm
فسنجون	فسنجان	shekar
فعلن	فعلاً	hazm
فک	فکر	hazm
قاعدتن	قاعدتاً	hazm
قایل	قائل	hazm
